,Floyd Warshall for p = 0.5,Dijkstra for p = 0.5
0,0.00021004676818847656,0.0002808570861816406
1,0.00025391578674316406,0.0003299713134765625
2,0.0003268718719482422,0.0003540515899658203
3,0.00041413307189941406,0.0005929470062255859
4,0.0005140304565429688,0.0006279945373535156
5,0.0006279945373535156,0.0007641315460205078
6,0.0007619857788085938,0.0008161067962646484
7,0.0009107589721679688,0.0009472370147705078
8,0.0010709762573242188,0.0011091232299804688
9,0.001260995864868164,0.001461029052734375
10,0.001470327377319336,0.0014872550964355469
11,0.0016939640045166016,0.001753091812133789
12,0.0019359588623046875,0.002074003219604492
13,0.002209901809692383,0.0021991729736328125
14,0.002480030059814453,0.002434968948364258
15,0.00263214111328125,0.0027189254760742188
16,0.0031638145446777344,0.0030269622802734375
17,0.0035550594329833984,0.0034601688385009766
18,0.003965139389038086,0.0036149024963378906
19,0.004182100296020508,0.0041158199310302734
20,0.00480198860168457,0.004929065704345703
21,0.005354881286621094,0.004966020584106445
22,0.00590205192565918,0.0056760311126708984
23,0.0064868927001953125,0.006269216537475586
24,0.0071451663970947266,0.006341695785522461
25,0.007692098617553711,0.0068471431732177734
26,0.008455991744995117,0.00763392448425293
27,0.009692907333374023,0.008218765258789062
28,0.010403156280517578,0.009078741073608398
29,0.011387109756469727,0.010022878646850586
30,0.01227879524230957,0.011104106903076172
31,0.013490915298461914,0.01176905632019043
32,0.014621973037719727,0.012971878051757812
33,0.015981197357177734,0.014594078063964844
34,0.016801834106445312,0.015302896499633789
35,0.018030881881713867,0.01643228530883789
36,0.01993870735168457,0.017451047897338867
37,0.021057844161987305,0.01868605613708496
38,0.022539138793945312,0.0201108455657959
39,0.02376699447631836,0.02161574363708496
40,0.025375843048095703,0.023171186447143555
41,0.02750396728515625,0.024208784103393555
42,0.028375864028930664,0.025622129440307617
43,0.029970884323120117,0.02752995491027832
44,0.031783103942871094,0.027911901473999023
45,0.03123927116394043,0.027999162673950195
46,0.032975196838378906,0.029864788055419922
47,0.03367805480957031,0.03133988380432129
48,0.03746199607849121,0.033412933349609375
49,0.040271759033203125,0.03291797637939453
50,0.044706106185913086,0.03531908988952637
51,0.04789590835571289,0.03753089904785156
52,0.05106782913208008,0.03934478759765625
53,0.05331897735595703,0.04024696350097656
54,0.05661725997924805,0.04065203666687012
55,0.060012102127075195,0.043721914291381836
56,0.05743098258972168,0.04596710205078125
57,0.05773591995239258,0.04935503005981445
58,0.06156587600708008,0.05382513999938965
59,0.06640291213989258,0.0568997859954834
60,0.0704646110534668,0.05557608604431152
61,0.07428789138793945,0.056739091873168945
62,0.07763910293579102,0.05842089653015137
63,0.08182811737060547,0.0611729621887207
64,0.0859520435333252,0.06283712387084961
65,0.08942914009094238,0.06333327293395996
66,0.09366106986999512,0.06702685356140137
67,0.09710884094238281,0.06954121589660645
68,0.09413313865661621,0.07254195213317871
69,0.09814810752868652,0.07470917701721191
70,0.09925293922424316,0.07871699333190918
71,0.10086607933044434,0.08826708793640137
72,0.10776996612548828,0.09618210792541504
73,0.11153793334960938,0.10112833976745605
74,0.12217497825622559,0.10434293746948242
75,0.13405299186706543,0.10670804977416992
76,0.1334681510925293,0.10198020935058594
77,0.14125394821166992,0.10559582710266113
78,0.14666223526000977,0.11217093467712402
79,0.14019370079040527,0.12084507942199707
80,0.15436792373657227,0.11997103691101074
81,0.16128897666931152,0.13174009323120117
82,0.16657519340515137,0.13529109954833984
83,0.17503809928894043,0.14063477516174316
84,0.1870732307434082,0.12816309928894043
85,0.1849830150604248,0.12988495826721191
86,0.18593883514404297,0.1404261589050293
87,0.19617605209350586,0.1660761833190918
88,0.2066209316253662,0.1747291088104248
89,0.21011877059936523,0.163923978805542
